Province,"2004 
(%)","2007 
(%)","2009 
(%)","2011 
(%)","2012 
(%)",
Phnom Penh,6.8,0.5,0.2,0.3,0.1,
Kandal,27.6,21.2,17.6,16.1,14.6,
Preah Sihanouk,31.6,25.2,21.1,18.2,15.6,
Kep,33.6,28.6,22.8,18.5,16.5,
Svay Rieng,32.5,27.8,23.6,19.3,17.4,
Takeo,31.6,28.1,25.2,22.5,19.9,
Koh Kong,34.8,31.1,26.7,23.6,20.3,
Kampot,26.6,23.4,20.5,22.1,20.4,
Kampong Cham,33.1,29,25.8,22.3,20.4,
Prey Veng,33.2,30.2,27.3,23.7,21.9,
Pailin,41.7,36.9,31,26.7,23.9,
Battambang,37.8,33.3,29.9,27,24.8,
Banteay Meanchey,39.9,34.1,31.3,28.3,25.5,
Kampong Speu,41.4,37.3,32.2,28.8,27.7,
Kampong Chhnang,37.9,35.6,32.3,29.5,27.7,
Pursat,40.7,37.5,34.1,30.3,27.8,
Siem Reap,42.2,36,32.4,30,28.8,
Kampong Thom,41.1,37.7,34.4,31.6,29.1,
Kracheh,43.9,41.5,38.6,35.4,32.6,
Mondul Kiri,47,42.4,38,36.8,32.9,
Otdor Meanchey,46.6,42.3,38.6,35,34.3,
Ratanak Kiri,50.7,45,41.5,39,36.2,
Stung Treng,46.1,44.3,42.4,39.3,36.8,
Preah Vihear,50.2,45.7,43.1,39.2,37,